@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute helper-1 numeric
@attribute helper-2 numeric
@attribute helper-3 numeric
@attribute helper-4 numeric
@attribute helper-5 numeric
@attribute helper-6 numeric
@attribute helper-7 numeric
@attribute giveme-1 numeric
@attribute giveme-2 numeric
@attribute giveme-3 numeric
@attribute giveme-4 numeric
@attribute giveme-5 numeric
@attribute giveme-6 numeric

@data
8817,'2020/02/19 11:42:10:386',14,187,149,79,4,1,1,1,10,?,?,?,?,?
8818,'2020/02/19 11:42:10:443',14,194,149,79,4,1,1,1,10,?,?,?,?,?
8819,'2020/02/19 11:42:10:443',14,194,133,79,4,1,1,1,10,?,?,?,?,?
8820,'2020/02/19 11:42:10:443',14,194,133,79,4,1,1,1,10,?,?,?,?,?
8821,'2020/02/19 11:42:10:443',14,194,133,79,4,1,1,1,10,?,?,?,?,?
8822,'2020/02/19 11:42:10:443',14,194,133,79,4,1,1,1,10,?,?,?,?,?
8823,'2020/02/19 11:42:10:443',14,194,133,79,4,1,1,1,10,?,?,?,?,?
8824,'2020/02/19 11:42:10:443',14,194,133,79,4,1,1,1,10,?,?,?,?,?
8825,'2020/02/19 11:42:10:496',14,203,133,79,4,1,1,1,10,?,?,?,?,?
8826,'2020/02/19 11:42:10:496',14,203,116,79,4,1,1,1,10,?,?,?,?,?
8827,'2020/02/19 11:42:10:496',14,203,116,79,4,1,1,1,10,?,?,?,?,?
8828,'2020/02/19 11:42:10:496',14,203,116,79,4,1,1,1,10,?,?,?,?,?
8829,'2020/02/19 11:42:10:496',14,203,116,79,4,1,1,1,10,?,?,?,?,?
8830,'2020/02/19 11:42:10:496',14,203,116,79,4,1,1,1,10,?,?,?,?,?
8831,'2020/02/19 11:42:10:496',14,203,116,79,4,1,1,1,10,?,?,?,?,?
8832,'2020/02/19 11:42:10:549',14,215,116,79,4,1,1,1,10,?,?,?,?,?
8833,'2020/02/19 11:42:10:549',14,215,100,79,4,1,1,1,10,?,?,?,?,?
8834,'2020/02/19 11:42:10:549',14,215,100,78,4,1,1,1,10,?,?,?,?,?
8835,'2020/02/19 11:42:10:549',14,215,100,78,4,1,1,1,10,?,?,?,?,?
8836,'2020/02/19 11:42:10:549',14,215,100,78,4,1,1,1,10,?,?,?,?,?
8837,'2020/02/19 11:42:10:549',14,215,100,78,4,1,1,1,10,?,?,?,?,?
8838,'2020/02/19 11:42:10:549',14,215,100,78,4,1,1,1,10,?,?,?,?,?
8839,'2020/02/19 11:42:10:598',14,224,100,78,4,1,1,1,10,?,?,?,?,?
8840,'2020/02/19 11:42:10:599',14,224,85,78,4,1,1,1,10,?,?,?,?,?
8841,'2020/02/19 11:42:10:599',14,224,85,75,4,1,1,1,10,?,?,?,?,?
