@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute helper-1 numeric
@attribute helper-2 numeric
@attribute helper-3 numeric
@attribute helper-4 numeric
@attribute helper-5 numeric
@attribute helper-6 numeric
@attribute helper-7 numeric
@attribute processing-1 numeric
@attribute processing-2 numeric
@attribute processing-3 numeric
@attribute processing-4 numeric
@attribute processing-5 numeric
@attribute processing-6 numeric
@attribute processing-7 numeric

@data
331,'2022/03/31 18:30:53:739',3,39,1125,1002,2,2,2,2,1,0,?,?,?,?,?
332,'2022/03/31 18:30:53:894',3,39,1125,849,1,1,2,2,1,0,?,?,?,?,?
333,'2022/03/31 18:30:54:049',3,39,1119,676,1,2,2,2,1,0,?,?,?,?,?
334,'2022/03/31 18:30:54:203',3,39,1119,635,1,2,2,2,1,0,?,?,?,?,?
335,'2022/03/31 18:30:54:361',3,39,1119,553,2,2,2,2,1,0,?,?,?,?,?
336,'2022/03/31 18:30:54:515',3,39,1114,549,2,2,2,2,1,0,?,?,?,?,?
337,'2022/03/31 18:30:54:675',3,38,1125,596,2,2,2,2,1,0,?,?,?,?,?
338,'2022/03/31 18:30:54:829',3,38,1125,621,2,2,2,2,1,0,?,?,?,?,?
339,'2022/03/31 18:30:54:983',3,39,1125,630,1,1,2,2,1,0,?,?,?,?,?
340,'2022/03/31 18:30:55:135',3,39,1125,659,1,1,2,2,1,0,?,?,?,?,?
341,'2022/03/31 18:30:55:287',3,39,1125,685,1,1,2,2,1,0,?,?,?,?,?
342,'2022/03/31 18:30:55:443',3,39,1125,701,1,2,2,2,1,0,?,?,?,?,?
343,'2022/03/31 18:30:55:596',3,39,1125,696,1,2,2,2,1,0,?,?,?,?,?
344,'2022/03/31 18:30:55:751',3,39,1125,723,1,2,2,2,1,0,?,?,?,?,?
345,'2022/03/31 18:30:55:903',3,39,1125,726,1,2,2,2,1,0,?,?,?,?,?
346,'2022/03/31 18:30:56:063',3,39,1125,831,2,2,2,2,1,0,?,?,?,?,?
347,'2022/03/31 18:30:56:220',3,39,1125,943,1,1,2,2,1,0,?,?,?,?,?
348,'2022/03/31 18:30:56:377',3,39,1125,945,1,2,2,2,1,0,?,?,?,?,?
349,'2022/03/31 18:30:56:529',3,39,1125,866,1,2,2,2,1,0,?,?,?,?,?
350,'2022/03/31 18:30:56:681',3,40,1125,729,2,1,2,2,1,0,?,?,?,?,?
351,'2022/03/31 18:30:56:836',3,39,1117,523,2,2,2,2,1,0,?,?,?,?,?
352,'2022/03/31 18:30:56:991',3,40,1020,579,2,2,2,2,1,0,?,?,?,?,?
353,'2022/03/31 18:30:57:146',3,40,953,693,2,2,2,2,1,0,?,?,?,?,?
354,'2022/03/31 18:30:57:301',3,39,947,755,2,2,2,2,1,0,?,?,?,?,?
355,'2022/03/31 18:30:57:456',3,39,948,911,1,2,2,2,1,0,?,?,?,?,?
356,'2022/03/31 18:30:57:608',3,38,1003,867,2,2,2,2,1,0,?,?,?,?,?
357,'2022/03/31 18:30:57:766',3,38,1002,1012,2,2,2,2,1,0,?,?,?,?,?
358,'2022/03/31 18:30:57:920',3,39,825,915,1,2,2,2,1,0,?,?,?,?,?
359,'2022/03/31 18:30:58:075',3,39,756,802,2,2,2,2,1,0,?,?,?,?,?
360,'2022/03/31 18:30:58:233',3,39,575,733,2,2,2,2,1,0,?,?,?,?,?
361,'2022/03/31 18:30:58:388',3,39,464,780,1,2,2,2,1,0,?,?,?,?,?
362,'2022/03/31 18:30:58:542',3,40,525,895,1,2,2,2,1,0,?,?,?,?,?
363,'2022/03/31 18:30:58:695',3,40,638,944,2,2,2,2,1,0,?,?,?,?,?
364,'2022/03/31 18:30:58:856',3,40,678,896,2,2,2,2,1,0,?,?,?,?,?
365,'2022/03/31 18:30:59:007',3,40,702,843,2,2,2,2,1,0,?,?,?,?,?
366,'2022/03/31 18:30:59:165',3,40,742,803,2,2,2,2,1,0,?,?,?,?,?
367,'2022/03/31 18:30:59:321',3,39,766,827,2,2,2,2,1,0,?,?,?,?,?
368,'2022/03/31 18:30:59:473',3,39,844,884,2,2,2,2,1,0,?,?,?,?,?
369,'2022/03/31 18:30:59:629',3,39,910,948,2,2,2,2,1,0,?,?,?,?,?
370,'2022/03/31 18:30:59:786',3,39,978,1007,2,2,2,1,1,0,?,?,?,?,?
371,'2022/03/31 18:30:59:940',3,40,1037,1066,1,2,2,2,1,0,?,?,?,?,?
372,'2022/03/31 18:31:00:097',3,40,1096,1121,1,2,2,2,1,0,?,?,?,?,?
373,'2022/03/31 18:31:00:251',3,40,1125,1115,1,2,2,2,1,0,?,?,?,?,?
374,'2022/03/31 18:31:00:403',3,40,1125,1077,2,2,2,2,1,0,?,?,?,?,?
