@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute helper-1 numeric
@attribute helper-2 numeric
@attribute helper-3 numeric
@attribute helper-4 numeric
@attribute helper-5 numeric
@attribute helper-6 numeric
@attribute helper-7 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric
@attribute outputs-7 numeric

@data
6999,'2022/12/16 13:49:42:762',33,130,107,145,0,0,0,4.698127,?,?,?,?,?,?,?
7000,'2022/12/16 13:49:42:771',33,130,107,145,0,0,0,4.698127,?,?,?,?,?,?,?
7001,'2022/12/16 13:49:42:779',33,128,108,145,0,0,0,4.821732,?,?,?,?,?,?,?
7002,'2022/12/16 13:49:42:782',33,128,108,145,0,0,0,4.821732,?,?,?,?,?,?,?
7003,'2022/12/16 13:49:42:791',33,128,108,145,0,0,0,4.821732,?,?,?,?,?,?,?
7004,'2022/12/16 13:49:42:797',33,128,108,145,0,0,0,4.821732,?,?,?,?,?,?,?
7005,'2022/12/16 13:49:42:803',33,128,108,145,0,0,0,4.821732,?,?,?,?,?,?,?
7006,'2022/12/16 13:49:42:809',33,125,109,144,0,0,0,5.228489,?,?,?,?,?,?,?
7007,'2022/12/16 13:49:42:815',33,125,109,144,0,0,0,5.228489,?,?,?,?,?,?,?
7008,'2022/12/16 13:49:42:821',33,125,109,144,0,0,0,5.228489,?,?,?,?,?,?,?
7009,'2022/12/16 13:49:42:829',33,120,109,144,0,0,0,6.135234,?,?,?,?,?,?,?
7010,'2022/12/16 13:49:42:837',33,120,109,144,0,0,0,6.135234,?,?,?,?,?,?,?
7011,'2022/12/16 13:49:42:843',33,120,109,144,0,0,0,6.135234,?,?,?,?,?,?,?
7012,'2022/12/16 13:49:42:850',33,120,109,144,0,0,0,6.135234,?,?,?,?,?,?,?
7013,'2022/12/16 13:49:42:857',33,116,110,141,0,0,0,7.231183,?,?,?,?,?,?,?
7014,'2022/12/16 13:49:42:863',33,116,110,141,0,0,0,7.231183,?,?,?,?,?,?,?
7015,'2022/12/16 13:49:42:872',33,116,110,141,0,0,0,7.231183,?,?,?,?,?,?,?
7016,'2022/12/16 13:49:42:876',33,116,110,141,0,0,0,7.231183,?,?,?,?,?,?,?
7017,'2022/12/16 13:49:42:884',33,110,110,137,0,0,0,8.680847,?,?,?,?,?,?,?
7018,'2022/12/16 13:49:42:888',33,110,110,137,0,0,0,8.680847,?,?,?,?,?,?,?
7019,'2022/12/16 13:49:42:895',33,110,110,137,0,0,0,8.680847,?,?,?,?,?,?,?
7020,'2022/12/16 13:49:42:901',33,110,110,137,0,0,0,8.680847,?,?,?,?,?,?,?
7021,'2022/12/16 13:49:42:908',33,110,110,137,0,0,0,8.680847,?,?,?,?,?,?,?
7022,'2022/12/16 13:49:42:921',33,103,110,136,0,0,0,10.523574,?,?,?,?,?,?,?
7023,'2022/12/16 13:49:42:932',33,103,110,136,0,0,0,10.523574,?,?,?,?,?,?,?
7024,'2022/12/16 13:49:42:938',33,97,111,133,0,0,0,12.392655,?,?,?,?,?,?,?
7025,'2022/12/16 13:49:42:944',33,97,111,133,0,0,0,12.392655,?,?,?,?,?,?,?
7026,'2022/12/16 13:49:42:953',33,97,111,133,0,0,0,12.392655,?,?,?,?,?,?,?
7027,'2022/12/16 13:49:42:957',33,92,112,129,0,0,0,14.215837,?,?,?,?,?,?,?
7028,'2022/12/16 13:49:42:971',33,92,112,129,0,0,0,14.215837,?,?,?,?,?,?,?
7029,'2022/12/16 13:49:42:975',33,92,112,129,0,0,0,14.215837,?,?,?,?,?,?,?
7030,'2022/12/16 13:49:42:981',33,92,112,129,0,0,0,14.215837,?,?,?,?,?,?,?
7031,'2022/12/16 13:49:42:987',33,87,111,126,0,0,0,15.938868,?,?,?,?,?,?,?
7032,'2022/12/16 13:49:42:993',33,87,111,126,0,0,0,15.938868,?,?,?,?,?,?,?
7033,'2022/12/16 13:49:43:000',33,87,111,126,0,0,0,15.938868,?,?,?,?,?,?,?
7034,'2022/12/16 13:49:43:006',33,87,111,126,0,0,0,15.938868,?,?,?,?,?,?,?
7035,'2022/12/16 13:49:43:018',33,82,111,125,0,0,0,17.546997,?,?,?,?,?,?,?
7036,'2022/12/16 13:49:43:024',33,82,111,125,0,0,0,17.546997,?,?,?,?,?,?,?
7037,'2022/12/16 13:49:43:030',33,82,111,125,0,0,0,17.546997,?,?,?,?,?,?,?
7038,'2022/12/16 13:49:43:036',33,77,111,121,0,0,0,18.982653,?,?,?,?,?,?,?
7039,'2022/12/16 13:49:43:048',33,77,111,121,0,0,0,18.982653,?,?,?,?,?,?,?
7040,'2022/12/16 13:49:43:057',33,77,111,121,0,0,0,18.982653,?,?,?,?,?,?,?
7041,'2022/12/16 13:49:43:060',33,74,111,116,0,0,0,19.956139,?,?,?,?,?,?,?
7042,'2022/12/16 13:49:43:066',33,74,111,116,0,0,0,19.956139,?,?,?,?,?,?,?
7043,'2022/12/16 13:49:43:073',33,74,111,116,0,0,0,19.956139,?,?,?,?,?,?,?
7044,'2022/12/16 13:49:43:081',33,74,111,116,0,0,0,19.956139,?,?,?,?,?,?,?
7045,'2022/12/16 13:49:43:085',33,74,111,116,0,0,0,19.956139,?,?,?,?,?,?,?
7046,'2022/12/16 13:49:43:093',33,70,112,112,0,0,0,20.509556,?,?,?,?,?,?,?
7047,'2022/12/16 13:49:43:099',33,70,112,112,0,0,0,20.509556,?,?,?,?,?,?,?
7048,'2022/12/16 13:49:43:105',33,70,112,112,0,0,0,20.509556,?,?,?,?,?,?,?
7049,'2022/12/16 13:49:43:112',33,70,112,112,0,0,0,20.509556,?,?,?,?,?,?,?
7050,'2022/12/16 13:49:43:119',33,68,113,109,0,0,0,20.494123,?,?,?,?,?,?,?
7051,'2022/12/16 13:49:43:129',33,68,113,109,0,0,0,20.494123,?,?,?,?,?,?,?
7052,'2022/12/16 13:49:43:135',33,68,113,109,0,0,0,20.494123,?,?,?,?,?,?,?
7053,'2022/12/16 13:49:43:142',33,67,112,108,0,0,0,19.871124,?,?,?,?,?,?,?
7054,'2022/12/16 13:49:43:150',33,67,112,108,0,0,0,19.871124,?,?,?,?,?,?,?
7055,'2022/12/16 13:49:43:154',33,67,112,108,0,0,0,19.871124,?,?,?,?,?,?,?
7056,'2022/12/16 13:49:43:162',33,67,112,108,0,0,0,19.871124,?,?,?,?,?,?,?
7057,'2022/12/16 13:49:43:168',33,67,111,109,0,0,0,18.633303,?,?,?,?,?,?,?
7058,'2022/12/16 13:49:43:174',33,67,111,109,0,0,0,18.633303,?,?,?,?,?,?,?
7059,'2022/12/16 13:49:43:180',33,67,111,109,0,0,0,18.633303,?,?,?,?,?,?,?
7060,'2022/12/16 13:49:43:186',33,67,111,109,0,0,0,18.633303,?,?,?,?,?,?,?
7061,'2022/12/16 13:49:43:199',33,66,110,109,0,0,0,17.090981,?,?,?,?,?,?,?
7062,'2022/12/16 13:49:43:207',33,66,110,109,0,0,0,17.090981,?,?,?,?,?,?,?
7063,'2022/12/16 13:49:43:211',33,66,110,109,0,0,0,17.090981,?,?,?,?,?,?,?
7064,'2022/12/16 13:49:43:221',33,65,110,108,0,0,0,15.237621,?,?,?,?,?,?,?
7065,'2022/12/16 13:49:43:228',33,65,110,108,0,0,0,15.237621,?,?,?,?,?,?,?
7066,'2022/12/16 13:49:43:234',33,65,110,108,0,0,0,15.237621,?,?,?,?,?,?,?
7067,'2022/12/16 13:49:43:239',33,65,110,108,0,0,0,15.237621,?,?,?,?,?,?,?
7068,'2022/12/16 13:49:43:246',33,65,108,106,0,0,0,13.165106,?,?,?,?,?,?,?
7069,'2022/12/16 13:49:43:255',33,65,108,106,0,0,0,13.165106,?,?,?,?,?,?,?
7070,'2022/12/16 13:49:43:261',33,65,108,106,0,0,0,13.165106,?,?,?,?,?,?,?
7071,'2022/12/16 13:49:43:267',33,65,108,106,0,0,0,13.165106,?,?,?,?,?,?,?
7072,'2022/12/16 13:49:43:273',33,66,107,107,0,0,0,11.096175,?,?,?,?,?,?,?
7073,'2022/12/16 13:49:43:280',33,66,107,107,0,0,0,11.096175,?,?,?,?,?,?,?
7074,'2022/12/16 13:49:43:286',33,66,107,107,0,0,0,11.096175,?,?,?,?,?,?,?
7075,'2022/12/16 13:49:43:292',33,66,107,107,0,0,0,11.096175,?,?,?,?,?,?,?
7076,'2022/12/16 13:49:43:303',33,67,107,109,0,0,0,9.116331,?,?,?,?,?,?,?
7077,'2022/12/16 13:49:43:304',33,67,107,109,0,0,0,9.116331,?,?,?,?,?,?,?
7078,'2022/12/16 13:49:43:314',33,67,107,109,0,0,0,9.116331,?,?,?,?,?,?,?
7079,'2022/12/16 13:49:43:321',33,68,105,110,0,0,0,7.182277,?,?,?,?,?,?,?
7080,'2022/12/16 13:49:43:327',33,68,105,110,0,0,0,7.182277,?,?,?,?,?,?,?
7081,'2022/12/16 13:49:43:333',33,68,105,110,0,0,0,7.182277,?,?,?,?,?,?,?
7082,'2022/12/16 13:49:43:339',33,68,105,110,0,0,0,7.182277,?,?,?,?,?,?,?
7083,'2022/12/16 13:49:43:348',33,70,104,109,0,0,0,5.34337,?,?,?,?,?,?,?
7084,'2022/12/16 13:49:43:354',33,70,104,109,0,0,0,5.34337,?,?,?,?,?,?,?
7085,'2022/12/16 13:49:43:360',33,70,104,109,0,0,0,5.34337,?,?,?,?,?,?,?
7086,'2022/12/16 13:49:43:367',33,70,104,109,0,0,0,5.34337,?,?,?,?,?,?,?
7087,'2022/12/16 13:49:43:376',33,70,104,109,0,0,0,5.34337,?,?,?,?,?,?,?
7088,'2022/12/16 13:49:43:383',33,71,103,113,0,0,0,3.808136,?,?,?,?,?,?,?
7089,'2022/12/16 13:49:43:389',33,71,103,113,0,0,0,3.808136,?,?,?,?,?,?,?
7090,'2022/12/16 13:49:43:395',33,71,103,113,0,0,0,3.808136,?,?,?,?,?,?,?
7091,'2022/12/16 13:49:43:402',33,72,103,114,0,0,0,2.875483,?,?,?,?,?,?,?
7092,'2022/12/16 13:49:43:408',33,72,103,114,0,0,0,2.875483,?,?,?,?,?,?,?
7093,'2022/12/16 13:49:43:414',33,72,103,114,0,0,0,2.875483,?,?,?,?,?,?,?
7094,'2022/12/16 13:49:43:420',33,72,103,114,0,0,0,2.875483,?,?,?,?,?,?,?
7095,'2022/12/16 13:49:43:432',33,72,103,113,0,0,0,2.472327,?,?,?,?,?,?,?
7096,'2022/12/16 13:49:43:443',33,72,103,113,0,0,0,2.472327,?,?,?,?,?,?,?
7097,'2022/12/16 13:49:43:449',33,72,102,115,0,0,0,2.505514,?,?,?,?,?,?,?
7098,'2022/12/16 13:49:43:455',33,72,102,115,0,0,0,2.505514,?,?,?,?,?,?,?
7099,'2022/12/16 13:49:43:464',33,72,102,115,0,0,0,2.505514,?,?,?,?,?,?,?
7100,'2022/12/16 13:49:43:467',33,72,102,115,0,0,0,2.505514,?,?,?,?,?,?,?
7101,'2022/12/16 13:49:43:473',33,72,102,115,0,0,0,2.505514,?,?,?,?,?,?,?
7102,'2022/12/16 13:49:43:479',33,71,103,118,0,0,0,2.586484,?,?,?,?,?,?,?
7103,'2022/12/16 13:49:43:486',33,71,103,118,0,0,0,2.586484,?,?,?,?,?,?,?
7104,'2022/12/16 13:49:43:493',33,71,103,118,0,0,0,2.586484,?,?,?,?,?,?,?
7105,'2022/12/16 13:49:43:499',33,71,103,118,0,0,0,2.586484,?,?,?,?,?,?,?
7106,'2022/12/16 13:49:43:511',33,70,103,119,0,0,0,2.587972,?,?,?,?,?,?,?
7107,'2022/12/16 13:49:43:517',33,70,103,119,0,0,0,2.587972,?,?,?,?,?,?,?
7108,'2022/12/16 13:49:43:524',33,70,103,119,0,0,0,2.587972,?,?,?,?,?,?,?
7109,'2022/12/16 13:49:43:530',33,71,102,122,0,0,0,2.607374,?,?,?,?,?,?,?
7110,'2022/12/16 13:49:43:545',33,71,102,122,0,0,0,2.607374,?,?,?,?,?,?,?
7111,'2022/12/16 13:49:43:552',33,71,104,123,0,0,0,2.542813,?,?,?,?,?,?,?
7112,'2022/12/16 13:49:43:559',33,71,104,123,0,0,0,2.542813,?,?,?,?,?,?,?
7113,'2022/12/16 13:49:43:571',33,71,104,123,0,0,0,2.542813,?,?,?,?,?,?,?
7114,'2022/12/16 13:49:43:579',33,71,104,123,0,0,0,2.542813,?,?,?,?,?,?,?
7115,'2022/12/16 13:49:43:582',33,71,103,124,0,0,0,2.318167,?,?,?,?,?,?,?
7116,'2022/12/16 13:49:43:591',33,71,103,124,0,0,0,2.318167,?,?,?,?,?,?,?
7117,'2022/12/16 13:49:43:595',33,71,103,124,0,0,0,2.318167,?,?,?,?,?,?,?
7118,'2022/12/16 13:49:43:605',33,71,103,124,0,0,0,2.318167,?,?,?,?,?,?,?
7119,'2022/12/16 13:49:43:615',33,71,103,124,0,0,0,1.943682,?,?,?,?,?,?,?
7120,'2022/12/16 13:49:43:622',33,71,103,124,0,0,0,1.943682,?,?,?,?,?,?,?
7121,'2022/12/16 13:49:43:629',33,71,103,124,0,0,0,1.943682,?,?,?,?,?,?,?
7122,'2022/12/16 13:49:43:638',33,71,104,126,0,0,0,1.526303,?,?,?,?,?,?,?
7123,'2022/12/16 13:49:43:641',33,71,104,126,0,0,0,1.526303,?,?,?,?,?,?,?
7124,'2022/12/16 13:49:43:648',33,71,104,126,0,0,0,1.526303,?,?,?,?,?,?,?
7125,'2022/12/16 13:49:43:653',33,71,104,126,0,0,0,1.526303,?,?,?,?,?,?,?
7126,'2022/12/16 13:49:43:662',33,71,105,127,0,0,0,1.118749,?,?,?,?,?,?,?
7127,'2022/12/16 13:49:43:668',33,71,105,127,0,0,0,1.118749,?,?,?,?,?,?,?
7128,'2022/12/16 13:49:43:675',33,71,105,127,0,0,0,1.118749,?,?,?,?,?,?,?
7129,'2022/12/16 13:49:43:684',33,73,106,129,0,0,0,0.887412,?,?,?,?,?,?,?
7130,'2022/12/16 13:49:43:691',33,73,106,129,0,0,0,0.887412,?,?,?,?,?,?,?
7131,'2022/12/16 13:49:43:699',33,73,106,129,0,0,0,0.887412,?,?,?,?,?,?,?
7132,'2022/12/16 13:49:43:706',33,73,106,129,0,0,0,0.887412,?,?,?,?,?,?,?
7133,'2022/12/16 13:49:43:712',33,74,106,129,0,0,0,0.994535,?,?,?,?,?,?,?
7134,'2022/12/16 13:49:43:718',33,74,106,129,0,0,0,0.994535,?,?,?,?,?,?,?
7135,'2022/12/16 13:49:43:724',33,74,106,129,0,0,0,0.994535,?,?,?,?,?,?,?
7136,'2022/12/16 13:49:43:731',33,74,106,129,0,0,0,0.994535,?,?,?,?,?,?,?
7137,'2022/12/16 13:49:43:738',33,77,106,127,0,0,0,1.697616,?,?,?,?,?,?,?
7138,'2022/12/16 13:49:43:745',33,77,106,127,0,0,0,1.697616,?,?,?,?,?,?,?
7139,'2022/12/16 13:49:43:754',33,77,106,127,0,0,0,1.697616,?,?,?,?,?,?,?
7140,'2022/12/16 13:49:43:761',33,79,106,126,0,0,0,2.474591,?,?,?,?,?,?,?
7141,'2022/12/16 13:49:43:769',33,79,106,126,0,0,0,2.474591,?,?,?,?,?,?,?
7142,'2022/12/16 13:49:43:778',33,79,106,126,0,0,0,2.474591,?,?,?,?,?,?,?
7143,'2022/12/16 13:49:43:782',33,79,106,126,0,0,0,2.474591,?,?,?,?,?,?,?
7144,'2022/12/16 13:49:43:791',33,82,108,124,0,0,0,3.470677,?,?,?,?,?,?,?
7145,'2022/12/16 13:49:43:794',33,82,108,124,0,0,0,3.470677,?,?,?,?,?,?,?
7146,'2022/12/16 13:49:43:802',33,82,108,124,0,0,0,3.470677,?,?,?,?,?,?,?
7147,'2022/12/16 13:49:43:808',33,82,108,124,0,0,0,3.470677,?,?,?,?,?,?,?
7148,'2022/12/16 13:49:43:815',33,85,108,121,0,0,0,4.583569,?,?,?,?,?,?,?
7149,'2022/12/16 13:49:43:825',33,85,108,121,0,0,0,4.583569,?,?,?,?,?,?,?
