@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute helper-1 numeric
@attribute helper-2 numeric
@attribute helper-3 numeric
@attribute helper-4 numeric
@attribute helper-5 numeric
@attribute helper-6 numeric
@attribute helper-7 numeric
@attribute processing-1 numeric
@attribute processing-2 numeric
@attribute processing-3 numeric
@attribute processing-4 numeric
@attribute processing-5 numeric
@attribute processing-6 numeric
@attribute processing-7 numeric
@attribute processing-8 numeric
@attribute processing-9 numeric
@attribute processing-10 numeric

@data
90,'2021/10/25 16:53:49:581',2,65,37,49,881,1052,812,2,?,?,?,0.98,?,?,?,?,?,?
91,'2021/10/25 16:53:49:737',2,63,39,49,883,1051,804,2,?,?,?,0.98,?,?,?,?,?,?
92,'2021/10/25 16:53:49:893',2,62,40,50,879,1050,804,2,?,?,?,0.98,?,?,?,?,?,?
93,'2021/10/25 16:53:50:049',2,61,42,52,872,1049,842,2,?,?,?,0.98,?,?,?,?,?,?
94,'2021/10/25 16:53:50:203',2,61,42,52,868,1048,867,2,?,?,?,0.98,?,?,?,?,?,?
95,'2021/10/25 16:53:50:357',2,62,40,53,869,1050,852,2,?,?,?,0.98,?,?,?,?,?,?
96,'2021/10/25 16:53:50:513',2,66,38,52,875,1052,842,2,?,?,?,0.98,?,?,?,?,?,?
97,'2021/10/25 16:53:50:668',2,74,37,51,876,1054,835,2,?,?,?,0.98,?,?,?,?,?,?
98,'2021/10/25 16:53:50:824',2,77,36,48,872,1055,860,1,?,?,?,0.98,?,?,?,?,?,?
99,'2021/10/25 16:53:50:980',2,92,36,46,868,1055,878,1,?,?,?,0.98,?,?,?,?,?,?
100,'2021/10/25 16:53:51:134',2,185,36,46,870,1055,860,1,?,?,?,0.98,?,?,?,?,?,?
101,'2021/10/25 16:53:51:289',2,274,36,45,874,1056,845,2,?,?,?,0.98,?,?,?,?,?,?
102,'2021/10/25 16:53:51:444',2,327,36,46,874,1056,828,2,?,?,?,0.98,?,?,?,?,?,?
103,'2021/10/25 16:53:51:601',2,327,36,47,869,1056,856,2,?,?,?,0.98,?,?,?,?,?,?
104,'2021/10/25 16:53:51:756',2,210,36,46,865,1056,882,2,?,?,?,0.98,?,?,?,?,?,?
105,'2021/10/25 16:53:51:913',2,221,36,49,866,1056,893,2,?,?,?,0.98,?,?,?,?,?,?
106,'2021/10/25 16:53:52:068',2,257,36,47,869,1055,889,2,?,?,?,0.98,?,?,?,?,?,?
107,'2021/10/25 16:53:52:223',2,272,36,47,872,1054,877,2,?,?,?,0.98,?,?,?,?,?,?
108,'2021/10/25 16:53:52:380',2,253,36,48,872,1053,871,1,?,?,?,0.98,?,?,?,?,?,?
109,'2021/10/25 16:53:52:536',2,203,36,46,871,1052,872,2,?,?,?,0.98,?,?,?,?,?,?
110,'2021/10/25 16:53:52:691',2,133,36,46,869,1050,879,1,?,?,?,0.98,?,?,?,?,?,?
111,'2021/10/25 16:53:52:847',2,118,36,47,872,1048,878,2,?,?,?,0.98,?,?,?,?,?,?
112,'2021/10/25 16:53:53:002',2,85,36,47,876,1046,874,1,?,?,?,0.98,?,?,?,?,?,?
113,'2021/10/25 16:53:53:157',2,70,36,46,880,1046,866,1,?,?,?,0.98,?,?,?,?,?,?
114,'2021/10/25 16:53:53:312',2,70,36,47,881,1048,864,2,?,?,?,0.98,?,?,?,?,?,?
115,'2021/10/25 16:53:53:468',2,67,36,46,878,1049,872,2,?,?,?,0.98,?,?,?,?,?,?
116,'2021/10/25 16:53:53:623',2,64,36,46,871,1050,885,2,?,?,?,0.98,?,?,?,?,?,?
117,'2021/10/25 16:53:53:779',2,62,36,46,865,1050,894,1,?,?,?,0.98,?,?,?,?,?,?
118,'2021/10/25 16:53:53:935',2,56,36,46,861,1051,886,2,?,?,?,0.98,?,?,?,?,?,?
119,'2021/10/25 16:53:54:091',2,54,36,44,862,1053,875,2,?,?,?,0.98,?,?,?,?,?,?
120,'2021/10/25 16:53:54:247',2,57,36,44,869,1053,856,2,?,?,?,0.98,?,?,?,?,?,?
121,'2021/10/25 16:53:54:402',2,65,38,44,872,1053,848,2,?,?,?,0.98,?,?,?,?,?,?
122,'2021/10/25 16:53:54:558',2,71,40,43,873,1051,856,2,?,?,?,0.98,?,?,?,?,?,?
123,'2021/10/25 16:53:54:713',2,75,41,43,868,1049,870,2,?,?,?,0.98,?,?,?,?,?,?
124,'2021/10/25 16:53:54:871',2,70,41,43,862,1049,886,2,?,?,?,0.98,?,?,?,?,?,?
125,'2021/10/25 16:53:55:026',2,64,39,43,860,1050,895,2,?,?,?,0.98,?,?,?,?,?,?
126,'2021/10/25 16:53:55:183',2,62,37,42,866,1052,888,2,?,?,?,0.98,?,?,?,?,?,?
127,'2021/10/25 16:53:55:337',2,65,37,42,878,1053,878,2,?,?,?,0.98,?,?,?,?,?,?
128,'2021/10/25 16:53:55:493',2,67,37,42,885,1053,871,1,?,?,?,0.98,?,?,?,?,?,?
129,'2021/10/25 16:53:55:647',2,66,37,44,886,1053,877,2,?,?,?,0.98,?,?,?,?,?,?
130,'2021/10/25 16:53:55:804',2,60,37,44,874,1052,891,2,?,?,?,0.98,?,?,?,?,?,?
131,'2021/10/25 16:53:55:960',2,55,37,44,865,1052,902,2,?,?,?,0.98,?,?,?,?,?,?
132,'2021/10/25 16:53:56:114',2,53,36,44,862,1053,896,2,?,?,?,0.98,?,?,?,?,?,?
133,'2021/10/25 16:53:56:270',2,53,36,44,865,1052,872,2,?,?,?,0.98,?,?,?,?,?,?
134,'2021/10/25 16:53:56:425',2,52,36,44,875,1053,854,1,?,?,?,0.98,?,?,?,?,?,?
135,'2021/10/25 16:53:56:581',2,50,36,43,878,1051,840,1,?,?,?,0.98,?,?,?,?,?,?
136,'2021/10/25 16:53:56:737',2,52,36,42,869,1050,868,1,?,?,?,0.98,?,?,?,?,?,?
137,'2021/10/25 16:53:56:892',2,51,36,40,860,1050,887,2,?,?,?,0.98,?,?,?,?,?,?
138,'2021/10/25 16:53:57:048',2,50,35,41,849,1051,908,2,?,?,?,0.98,?,?,?,?,?,?
139,'2021/10/25 16:53:57:205',2,51,36,41,831,1053,918,2,?,?,?,0.98,?,?,?,?,?,?
140,'2021/10/25 16:53:57:362',2,53,36,42,820,1054,918,2,?,?,?,0.98,?,?,?,?,?,?
141,'2021/10/25 16:53:57:517',2,54,36,42,821,1055,911,2,?,?,?,0.98,?,?,?,?,?,?
142,'2021/10/25 16:53:57:674',2,55,36,43,825,1051,907,1,?,?,?,0.98,?,?,?,?,?,?
143,'2021/10/25 16:53:57:830',2,55,36,43,848,1041,905,1,?,?,?,0.98,?,?,?,?,?,?
144,'2021/10/25 16:53:57:986',2,56,36,43,865,1033,906,1,?,?,?,0.98,?,?,?,?,?,?
145,'2021/10/25 16:53:58:141',2,59,36,44,874,1029,910,1,?,?,?,0.98,?,?,?,?,?,?
146,'2021/10/25 16:53:58:298',2,60,36,45,879,1032,912,1,?,?,?,0.98,?,?,?,?,?,?
147,'2021/10/25 16:53:58:453',2,59,36,43,885,1040,899,1,?,?,?,0.98,?,?,?,?,?,?
148,'2021/10/25 16:53:58:609',2,55,36,45,888,1045,886,1,?,?,?,0.98,?,?,?,?,?,?
149,'2021/10/25 16:53:58:765',2,52,36,44,885,1047,879,2,?,?,?,0.98,?,?,?,?,?,?
150,'2021/10/25 16:53:58:920',2,52,36,44,879,1049,881,2,?,?,?,0.98,?,?,?,?,?,?
151,'2021/10/25 16:53:59:075',2,51,36,44,873,1048,897,2,?,?,?,0.98,?,?,?,?,?,?
152,'2021/10/25 16:53:59:232',2,51,36,44,871,1047,906,2,?,?,?,0.98,?,?,?,?,?,?
153,'2021/10/25 16:53:59:388',2,50,36,46,875,1045,912,2,?,?,?,0.98,?,?,?,?,?,?
