@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute helper-1 numeric
@attribute helper-2 numeric
@attribute helper-3 numeric
@attribute helper-4 numeric
@attribute helper-5 numeric
@attribute helper-6 numeric
@attribute helper-7 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric
@attribute outputs-7 numeric

@data
839,'2022/04/20 17:57:57:906',5,104,23,8,2,2,2,2,0.5,1,?,?,?,?,?
840,'2022/04/20 17:57:58:063',5,105,22,8,2,2,2,2,0.5,1,?,?,?,?,?
841,'2022/04/20 17:57:58:218',5,104,24,8,2,2,2,2,0.5,1,?,?,?,?,?
842,'2022/04/20 17:57:58:373',5,109,25,9,1,2,2,2,0.5,1,?,?,?,?,?
843,'2022/04/20 17:57:58:529',5,109,25,9,2,2,2,2,0.5,1,?,?,?,?,?
844,'2022/04/20 17:57:58:684',5,109,26,9,1,2,2,2,0.5,1,?,?,?,?,?
845,'2022/04/20 17:57:58:839',5,108,22,9,2,2,2,2,0.5,1,?,?,?,?,?
846,'2022/04/20 17:57:58:993',5,104,20,9,2,2,2,2,0.5,1,?,?,?,?,?
847,'2022/04/20 17:57:59:151',5,98,18,9,2,2,2,2,0.5,1,?,?,?,?,?
848,'2022/04/20 17:57:59:307',5,99,17,8,2,2,2,2,0.5,1,?,?,?,?,?
849,'2022/04/20 17:57:59:463',5,101,17,8,2,2,2,2,0.5,1,?,?,?,?,?
850,'2022/04/20 17:57:59:619',5,104,16,9,2,1,2,2,0.5,1,?,?,?,?,?
851,'2022/04/20 17:57:59:775',5,107,16,9,2,1,2,2,0.5,1,?,?,?,?,?
852,'2022/04/20 17:57:59:928',5,107,17,9,2,2,2,2,0.5,1,?,?,?,?,?
853,'2022/04/20 17:58:00:087',5,100,19,9,2,2,2,2,0.5,1,?,?,?,?,?
854,'2022/04/20 17:58:00:245',5,99,20,8,1,2,2,2,0.5,1,?,?,?,?,?
855,'2022/04/20 17:58:00:401',5,96,20,8,1,1,2,2,0.5,1,?,?,?,?,?
856,'2022/04/20 17:58:00:556',5,95,18,8,2,1,2,2,0.5,1,?,?,?,?,?
857,'2022/04/20 17:58:00:712',5,95,17,8,2,1,2,2,0.5,1,?,?,?,?,?
858,'2022/04/20 17:58:00:869',5,99,17,8,2,1,2,2,0.5,1,?,?,?,?,?
859,'2022/04/20 17:58:01:027',5,107,17,8,2,1,2,2,0.5,1,?,?,?,?,?
860,'2022/04/20 17:58:01:185',5,111,17,8,2,1,2,1,0.5,1,?,?,?,?,?
861,'2022/04/20 17:58:01:340',5,124,17,9,2,2,2,2,0.5,1,?,?,?,?,?
862,'2022/04/20 17:58:01:494',5,138,17,9,2,2,2,2,0.5,1,?,?,?,?,?
863,'2022/04/20 17:58:01:651',5,146,16,9,2,1,2,2,0.5,1,?,?,?,?,?
864,'2022/04/20 17:58:01:807',5,147,16,9,2,2,2,2,0.5,1,?,?,?,?,?
865,'2022/04/20 17:58:01:962',5,128,16,8,2,1,2,2,0.5,1,?,?,?,?,?
866,'2022/04/20 17:58:02:119',5,108,16,8,2,2,2,2,0.5,1,?,?,?,?,?
867,'2022/04/20 17:58:02:275',5,99,16,8,2,2,2,2,0.5,1,?,?,?,?,?
868,'2022/04/20 17:58:02:431',5,97,16,8,2,2,2,2,0.5,1,?,?,?,?,?
869,'2022/04/20 17:58:02:589',5,96,17,9,2,2,2,2,0.5,1,?,?,?,?,?
870,'2022/04/20 17:58:02:745',5,96,17,9,2,2,2,2,0.5,1,?,?,?,?,?
871,'2022/04/20 17:58:24:434',6,922,643,8,2,2,2,2,1,0,?,?,?,?,?
872,'2022/04/20 17:58:24:589',6,976,546,8,2,2,2,2,1,0,?,?,?,?,?
873,'2022/04/20 17:58:24:745',6,1038,522,9,2,2,2,2,1,0,?,?,?,?,?
874,'2022/04/20 17:58:24:901',6,1064,554,9,2,2,2,2,1,0,?,?,?,?,?
875,'2022/04/20 17:58:25:056',6,1035,551,8,2,2,1,2,1,0,?,?,?,?,?
876,'2022/04/20 17:58:25:212',6,1030,579,8,2,2,2,2,1,0,?,?,?,?,?
877,'2022/04/20 17:58:25:369',6,1034,591,8,2,2,2,2,1,0,?,?,?,?,?
878,'2022/04/20 17:58:25:525',6,1026,584,8,2,1,2,2,1,0,?,?,?,?,?
879,'2022/04/20 17:58:25:682',6,1004,587,8,1,2,2,2,1,0,?,?,?,?,?
880,'2022/04/20 17:58:25:839',6,988,584,9,1,2,2,2,1,0,?,?,?,?,?
881,'2022/04/20 17:58:25:996',6,949,557,8,1,2,1,2,1,0,?,?,?,?,?
882,'2022/04/20 17:58:26:152',6,993,577,8,2,2,1,2,1,0,?,?,?,?,?
883,'2022/04/20 17:58:26:308',6,1043,566,8,1,2,1,2,1,0,?,?,?,?,?
884,'2022/04/20 17:58:26:464',6,1029,569,8,1,2,2,2,1,0,?,?,?,?,?
885,'2022/04/20 17:58:26:620',6,991,544,8,1,2,2,2,1,0,?,?,?,?,?
886,'2022/04/20 17:58:26:777',6,937,507,8,2,2,2,2,1,0,?,?,?,?,?
887,'2022/04/20 17:58:26:933',6,886,479,8,1,2,2,2,1,0,?,?,?,?,?
888,'2022/04/20 17:58:27:088',6,959,472,8,2,2,2,2,1,0,?,?,?,?,?
889,'2022/04/20 17:58:27:243',6,1026,473,9,2,2,2,2,1,0,?,?,?,?,?
890,'2022/04/20 17:58:27:399',6,1108,473,9,2,2,2,2,1,0,?,?,?,?,?
891,'2022/04/20 17:58:27:555',6,1120,480,9,2,2,2,2,1,0,?,?,?,?,?
892,'2022/04/20 17:58:27:710',6,1120,486,8,2,2,2,2,1,0,?,?,?,?,?
893,'2022/04/20 17:58:27:867',6,1120,492,9,2,2,2,2,1,0,?,?,?,?,?
894,'2022/04/20 17:58:28:022',6,1098,488,9,2,2,2,2,1,0,?,?,?,?,?
895,'2022/04/20 17:58:28:179',6,1061,494,9,2,2,2,2,1,0,?,?,?,?,?
896,'2022/04/20 17:58:28:334',6,1014,463,9,2,2,2,2,1,0,?,?,?,?,?
897,'2022/04/20 17:58:28:490',6,991,463,9,2,2,2,2,1,0,?,?,?,?,?
898,'2022/04/20 17:58:28:648',6,980,450,9,2,2,2,2,1,0,?,?,?,?,?
899,'2022/04/20 17:58:28:805',6,1024,428,8,2,2,2,2,1,0,?,?,?,?,?
900,'2022/04/20 17:58:28:961',6,1029,425,8,2,2,2,2,1,0,?,?,?,?,?
901,'2022/04/20 17:58:29:116',6,1009,426,9,2,2,2,2,1,0,?,?,?,?,?
902,'2022/04/20 17:58:29:272',6,1000,415,8,2,2,2,2,1,0,?,?,?,?,?
903,'2022/04/20 17:58:29:429',6,967,398,8,1,2,1,2,1,0,?,?,?,?,?
904,'2022/04/20 17:58:29:587',6,976,395,8,1,2,1,2,1,0,?,?,?,?,?
905,'2022/04/20 17:58:29:745',6,851,388,8,1,2,1,2,1,0,?,?,?,?,?
906,'2022/04/20 17:58:29:902',6,693,376,8,2,2,2,2,1,0,?,?,?,?,?
907,'2022/04/20 17:58:30:060',6,529,371,8,2,2,2,2,1,0,?,?,?,?,?
908,'2022/04/20 17:58:30:217',6,485,348,9,2,2,2,2,1,0,?,?,?,?,?
909,'2022/04/20 17:58:30:373',6,451,323,9,2,2,2,2,1,0,?,?,?,?,?
910,'2022/04/20 17:58:30:529',6,406,326,9,2,1,2,2,1,0,?,?,?,?,?
911,'2022/04/20 17:58:30:685',6,383,307,9,2,2,2,2,1,0,?,?,?,?,?
912,'2022/04/20 17:58:30:840',6,334,292,8,2,1,2,2,1,0,?,?,?,?,?
913,'2022/04/20 17:58:30:997',6,306,288,8,2,2,2,2,1,0,?,?,?,?,?
914,'2022/04/20 17:58:31:154',6,286,283,8,2,2,2,2,1,0,?,?,?,?,?
915,'2022/04/20 17:58:31:309',6,273,295,9,2,2,2,2,1,0,?,?,?,?,?
916,'2022/04/20 17:58:31:465',6,271,306,9,1,2,2,2,1,0,?,?,?,?,?
917,'2022/04/20 17:58:31:620',6,273,312,8,1,2,2,2,1,0,?,?,?,?,?
918,'2022/04/20 17:58:31:777',6,286,323,9,1,2,2,2,1,0,?,?,?,?,?
919,'2022/04/20 17:58:31:933',6,299,325,8,2,2,2,2,1,0,?,?,?,?,?
920,'2022/04/20 17:58:32:090',6,290,311,8,2,2,2,2,1,0,?,?,?,?,?
921,'2022/04/20 17:58:32:247',6,300,291,8,2,2,2,2,1,0,?,?,?,?,?
922,'2022/04/20 17:58:32:403',6,318,266,8,1,2,2,2,1,0,?,?,?,?,?
923,'2022/04/20 17:58:32:559',6,324,238,9,1,2,2,2,1,0,?,?,?,?,?
