@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric
@attribute outputs-7 numeric

@data
529,'2020/12/18 20:32:33:319',16,172,80,58,698,2,2,2,?,?,?,?,?,127,0
530,'2020/12/18 20:32:33:519',16,157,62,58,700,2,2,2,?,?,?,?,?,127,0
531,'2020/12/18 20:32:33:720',16,212,46,57,700,2,2,2,?,?,?,?,?,127,0
532,'2020/12/18 20:32:33:921',16,218,41,60,699,2,2,1,?,?,?,?,?,127,0
533,'2020/12/18 20:32:34:122',16,220,46,59,697,2,2,1,?,?,?,?,?,127,0
534,'2020/12/18 20:32:34:322',16,203,67,58,694,2,2,2,?,?,?,?,?,127,0
535,'2020/12/18 20:32:34:523',16,224,65,55,693,2,1,2,?,?,?,?,?,127,0
536,'2020/12/18 20:32:34:724',16,176,70,59,690,2,2,2,?,?,?,?,?,127,0
537,'2020/12/18 20:32:34:926',16,153,88,56,691,2,1,2,?,?,?,?,?,127,0
538,'2020/12/18 20:32:35:127',16,176,149,56,695,2,1,2,?,?,?,?,?,127,0
539,'2020/12/18 20:32:35:329',16,178,210,50,699,2,2,2,?,?,?,?,?,127,0
540,'2020/12/18 20:32:35:530',16,138,248,53,701,2,2,2,?,?,?,?,?,127,0
541,'2020/12/18 20:32:49:009',17,174,62,34,1,697,2,2,?,?,?,?,?,0,127
542,'2020/12/18 20:32:49:210',17,220,69,36,2,697,2,2,?,?,?,?,?,0,127
543,'2020/12/18 20:32:49:412',17,220,116,37,2,697,2,2,?,?,?,?,?,0,127
544,'2020/12/18 20:32:49:612',17,243,215,36,2,697,2,2,?,?,?,?,?,0,127
545,'2020/12/18 20:32:49:813',17,198,275,38,2,697,2,2,?,?,?,?,?,0,127
